grupo,lat_x,lon_x,cch,azimuth,ponto_id,delay_1,delay_2,delay_3,lat_y,lon_y,rssi_value
1.329853801958925,-8.046193392425646,-34.950747814329254,868.2625872759497,247.55117104079545,7014.5434952514815,6.043803369399698,4.453890533015241,1.3390783146961391,-8.05536353735699,-34.955995189638784,0.537511871325966
1.712946552283815,-8.048543349047618,-34.95175040308634,885.8344308760729,123.36092699346773,1076.6422687962286,7.9352504502285015,3.07615418258019,1.4253521987204807,-8.06124920138455,-34.95221483490984,0.3273264295811094
1.448861780006422,-8.049107433761158,-34.94444133065122,862.4172181554385,-24.894442702025117,8012.537374354172,2.755186981343173,2.376551617725827,3.6066753002723244,-8.04874257005828,-34.94839088400596,0.5232331535639985
2.707004230211012,-8.05547791153425,-34.951955790198404,873.2728559161842,236.10658986613998,5870.229725804107,2.098240119869323,2.0049013331800403,2.74975914056911,-8.054588287480632,-34.947904197482174,0.1889327301411542
2.4257415448925417,-8.053624037081407,-34.95159052311035,865.5657199319494,-9.76559211082349,8337.773078812037,4.2714619222478465,1.577049482692082,4.275691642125884,-8.053997200577625,-34.94745589348271,0.22924541254796768
1.8270568874626496,-8.047648327397821,-34.95635977694498,875.9246256944236,33.50792928694864,4948.118504026442,1.8413789405638337,3.329067920090039,2.549609506694308,-8.053612193014699,-34.94983577120516,0.35488437831565367
2.3542281719933142,-8.051429867682813,-34.956189408345836,874.8944213204293,204.46977695153328,3560.4275924155786,5.027610306082375,2.820631310638107,1.3033893055635475,-8.053937894373457,-34.95273766184437,-0.199371928707605
2.0104084565085705,-8.050778914045484,-34.9513554746097,869.4725943427251,201.56408140203712,5842.718778802138,5.160299054988,3.633823558653522,2.280696297865034,-8.053288853473669,-34.9536571448744,0.15671497760186529
1.0709392173560541,-8.047519113361883,-34.94091666313395,872.0148061284145,-5.689055780152557,5939.800082766463,2.6997511315760803,3.0938422772068046,3.2401867672723625,-8.051627964836587,-34.95122375649866,0.5003284396486999
1.0704215652506124,-8.043643909246068,-34.95278815009513,872.5754706882641,103.75742159847869,2363.411254366592,4.953292055889423,2.7011501591991216,2.985533335771536,-8.054833057867457,-34.94962167766731,-0.4248229091426148
